Title,URLs,Categories
"Hearty and Healthy, Autumn Turkey Dinner",https://www.skinnykitchen.com/recipes/hearty-and-healthy-autumn-turkey-dinner/,"Recent, Recipes"
"Hooray, it’s Skinny Kitchen&#8217;s 2nd Birthday and I&#8217;m Celebrating with a Skinnyfabulous Red Velvet Cake!",https://www.skinnykitchen.com/recipes/skinnyfabulous-red-velvet-cake/,Recipes
"Sunrise Pineapple-Orange Mimosa",https://www.skinnykitchen.com/recipes/sunrise-pineapple-orange-mimosa/,"Recent, Recipes"
"(Air Fryer) Blackened Crispy Chickpeas",https://www.skinnykitchen.com/recipes/air-fryer-blackened-crispy-chickpeas/,"Featured, Recent, Recipes"
"(Crock-Pot) Chunky Chicken Chili",https://www.skinnykitchen.com/recipes/crock-pot-chunky-chicken-chili/,"Featured, Recent, Recipes"
"(Crock-pot) Skinny Asian Style Chicken and Vegetables",https://www.skinnykitchen.com/recipes/crock-pot-skinny-asian-style-chicken-and-vegetables/,"Featured, Recipes"
"(Crock-Pot) Skinny Cranberry Chicken",https://www.skinnykitchen.com/recipes/crock-pot-skinny-cranberry-chicken/,"Featured, Recipes"
"(Crock-pot) Skinny Thai Chicken with Peanut Sauce",https://www.skinnykitchen.com/recipes/crock-pot-skinny-thai-chicken-with-peanut-sauce/,"Featured, Recipes"
"10 Skinny Brunch Recipes for Mother’s Day",https://www.skinnykitchen.com/recipes/10-skinny-brunch-recipes-for-mothers-day/,"Recipes, Tips"
"10 Steps To Prep Your Kitchen For The Holidays",https://www.skinnykitchen.com/recipes/10-steps-to-prep-your-kitchen-for-the-holidays/,"Skinny Tip of the Day"
"10 Surprising Health Benefits of Bananas",https://www.skinnykitchen.com/recipes/10-surprising-health-benefits-of-bananas/,"Skinny Tip of the Day"
"10 Ways to Instantly Upgrade Your Diet (&#8230;.With These Nutrition No-Brainers)",https://www.skinnykitchen.com/recipes/ten-ways-to-instantly-upgrade-your-diet-with-these-nutrition-no-brainers/,"Skinny Tip of the Day"
"12 Awesome Apple-licious Recipes",https://www.skinnykitchen.com/recipes/12-awesome-apple-licious-recipes/,"Recent, Recipes"
